count	player_id	name	author	released	reference
17	Chris_Cox				
17	Extra_Sound		Tobias Herre		https://csdb.dk/release/?id=111493
17	Ashley_Hogg				
17	Toaster_Digi		Tomasz Przybylski (Toaster)		
17	Martin_Walker				
16	Assassin_Sample_Mixer	Sample Mixer	Assassin	1993	https://csdb.dk/release/?id=129555
16	Element114Studio_1.0	Music Studio Plus	Martin Piper & Alan Peters	1992 Element 114 Software	
16	DMC_V6.x	Demo Music Creator System (DMC)	Balazs Farkas (Brian)		
16	Henning_Andersen				
15	Polyanna		Aleksi Eeben	2017	https://csdb.dk/release/?id=153091
15	PlayStar	Play Star	Radoslaw Andrzejewicz (Rabbi)		
14	OmegaSupreme_Digi		Olav Mørkrid (Omega Supreme)		
14	Sidplayer		Craig Chamberlain	1985	https://csdb.dk/release/?id=33248
14	Music_Producer_II	Music Producer II	J.N.W. Cheesman		
14	Michael_Delaney	C64 Music Editor V1.0	Michael Delaney	1992 Michael Delaney	https://csdb.dk/release/?id=138249
14	Android		Andrew Craigie (Android)		
14	GRG_tiny_2		Glenn Rune Gallefoss (GRG)		
14	Hermit/FlexSID		Mihály Horváth (Hermit)	2022	https://csdb.dk/release/?id=214694
13	Neil_Baldwin				
13	JammicroV1	Jammicro V1	Kamil Wolnikowski (Jammer)		
13	Glover		Lukasz Baran (Glover)		
13	Kosa_Protracker		Jakub Kosinski (Kosa)		
13	Dave_Lowe				
13	Twynn		Ruud den Bekker (Twynn)		
12	Basically_Music		Greg Tarr	1988 Compute! Gazette	
12	RiffQuick				
12	Georg_Brandt				
12	Chris_Huelsbeck				
12	Paul_Butler				
12	Mark_Clements				
12	Anthony_Lees				
12	Stuart_Taylor				
12	Mark_Wilson		Mark Wilson		
11	Dutch-USA_Team/ProDrum		The Dutch USA-Team	1988	https://csdb.dk/release/?id=20672
11	?Hoernell/Players				
11	Samplomed				
11	GRG		Glenn Rune Gallefoss (GRG)		
11	Russell_Lieblich		Russell Lieblich		
11	Prosonix_new				
11	Gavin_Raeburn				
11	ATMDS_3.x	Acid Track Music Development System (ATMDS)	Stefan Hübner (St0ff)	2001 Neoplasia	https://csdb.dk/release/?id=7159
10	?MSB				
10	Frank_Tout				
10	?Source_2				
10	?Paul_Hodgson				
10	Paul_Norman/Cosmi				
10	OxyMod/THCM		Uwe Anfang (The Human Code Machine)		
10	Geir_Tjelta/Echo				
10	Faith_Sample_Mixer	Sample Mixer	Slawomir Balon (BS)	1994 Faith Design	https://csdb.dk/release/?id=7296
10	Star_Bars	Star Bars Atari 2600 Music Editor	Aleksi Eeben	2023	https://csdb.dk/release/?id=234625
10	Wyndex/Blahtune		Stephen L. Judd (Wyndex)	1997	http://www.ffd2.com/fridge/blahtune/
10	Kris_Hatlelid				
10	DrumEditor	Drumeditor V3.0	Frank Hugenroth & André Hugenroth	1990 64'er-Disc/Markt & Technik	https://csdb.dk/release/?id=136179
10	Oeyvind_Jergan		Øyvind Jergan		
10	Oliver_Klaewer				
10	Zyborg		Mikkel Jakobsen (Zyborg)		
9	Censor_Digi_1				
9	Synth_Executor	Synth Executor	Georg Feil (Georgie)	1986 Georg Feil	https://csdb.dk/release/?id=57436
9	?TheSpy_Digi				
9	MiniMusic	Mini Music Editor	Balazs Farkas (Brian)	1990 Tomcat	https://csdb.dk/release/?id=55790
9	?Alligata/Quicksilva				
9	?Bob_Vieira/Epyx				
9	Stephen_Biggs				
9	GRG_tiny_1		Glenn Rune Gallefoss (GRG)		
9	GMC_V2.0/Superiors	Game Music Creator System	Balazs Farkas (Brian)		
9	Odie/Cosine		Sean Connolly (Odie)		
9	Drumtex		Vidar Bang (Drumtex)		
9	Holger_Gehrmann	Soundcontrol	Holger Gehrmann	1984	https://csdb.dk/release/?id=30432
9	SoundBox/MDA		Tim Kleinert	1991 Modern Arts	https://csdb.dk/release/?id=112576
9	Richard_Joseph				
9	Music_Magic		Mark Riley & Jon Rami	1984 Mark Riley & Jon Rami	https://csdb.dk/release/?id=129644
9	Sorex_Digi		Geert Verschueren (Sorex)		
9	Zod_Digi				
8	Network	Network Music Editor V1.4			https://csdb.dk/release/?id=207305
8	Jim_Cuomo				
8	Nigel_Grieve				
8	Thiel_Sound_System	David Dwyer Thiel Sound System (DDTSS)	David Thiel		
8	Tonal_Kaos				
8	Dave_Lee				
8	Steve_Turner				
8	?Howard_Boles				
8	ICC/TheVoice		Incredibly Confused Coder (ICC)		
8	David_Green				
8	Jason_Page/RobTracker		Jason Page		
8	SoundWriter_2.0		Thorsten Klose	1992 64'er/Markt & Technik	https://csdb.dk/release/?id=17422
8	Mermaid_tiny				
8	Dane		Stellan Andersson (Dane)		
8	Mixer		Jouni Ikonen (Mixer)		
8	Noise-Mon_V2		Piotr Pisula	1992 Piotr Pisula	
8	Jason_Page				
8	Reiter_Digi		Bartek Stobiecki (Reiter)		
8	Martijn_Schutten				
8	Hans_Siemons				
8	Graffity/Grabowsky				
8	Matthias_Weber				
7	Power-Composer		Markus (Biscuit)		https://csdb.dk/release/?id=236659
7	Quantum_Soundtracker		Aleksi Eeben	2024 Aleksi Eeben	https://csdb.dk/release/?id=245053
7	Mcee_Digi				
7	Colleen				
7	?Jim_Simmons/Capcom				
7	VoiceEater		Rolf Runar Bakke	1999 SHAPE	https://csdb.dk/release/?id=33610
7	Bobbi_Towers				
7	Ed_Bogas/Accolade		Ed Bogas		
7	Neil_Crossley				
7	Ivan_Del_Duca				
7	Gavin_Graham_2				
7	Algorithm/Frodigi	Free Running Oscillator Digi	Naveed Khugiani (Algorithm)		
7	Mat/MDA		Matthias Hillebrand of Modern Arts		
7	(Dane_NewPlayer)	JCH-editor 3.1 + NP22-25	Stellan Andersson (Dane)	2011	https://csdb.dk/release/?id=100406
7	Ozzy_Oldschool_V1		Ossi Aarnio (Ozzy Oldskool)		
7	SounDemon		Otto Järvinen (SounDemoN)		
7	Song_Writer		Jeremy Thorne		
6	Modulator	Modulator	Thomas Krätzig	1985 64'er/Markt & Technik	https://csdb.dk/release/?id=129802
6	Cyberbrain_Digi		Bjarke Nørgaard Laustsen (CyberBrain)		
6	MicroRhythm		Simon Pick	1986 Firebird	https://csdb.dk/release/?id=49637
6	Voicemaster_Covox	Voicemaster	Brad Stewart & Ned Higgins	1984 Covox Inc.	
6	CharlesCallet/MusicPro	Music Pro	Charles Callet		https://cpcrulez.fr/applications_music-music-pro.htm?t=VA==
6	?Source				
6	Paul_Hughes		Paul Hughes		
6	Ed_Bogas/Hakansson		Ed Bogas		
6	ID_3.x		Danjel Nyberg (Amadeus)		
6	Steve_Bak				
6	Element114Studio_1.2	Music Studio Plus	Martin Piper & Alan Peters	2010 Element 114 Software	https://csdb.dk/release/?id=90404
6	Digimixer/FunFactory	Digimixer	Gyula Szalai (Jules)	199? Fun Factory	https://csdb.dk/release/?id=129559
6	Censor_Digi_2				
6	MacGyver/ESV	Expanded SID Voice	Mac Gyver	1988 Digitize Design Group	https://csdb.dk/release/?id=129556
6	Geir_Tjelta/Comptech-X	Comptech-X	Geir Tjelta	2019 <?>	
6	Rene_Romijn				
6	Matt_Furniss				
6	Golem		Paul H. (Golem)		
6	MusicSlave				
6	Van_Styer_Digi		Piotr Przewozny (Van Styer)		
6	Hermit				
6	Symphonica/MDA	Symphonica Music System V1.0	Tim Kleinert		
6	JammicroV0	Jammicro V0	Kamil Wolnikowski (Jammer)		
6	KB/TOM		Tammo Hinrichs (kb) of The Obsessed Maniacs (TOM)		
6	Dave_Kelly				
6	Stephen_Legg				
6	Madhacker_Digi		David (Madhacker)		
6	Magnar_tiny				
6	MrMouse/EasyPlayer		Michael Zuurman (Mr. Mouse)		
6	Paul_Mudra				
6	Visac_tiny				
5	Martin_Galway_Digi		Martin Galway		
5	?Juergen_Jost				
5	TFMX/MasterComposer		Playboy & Sir Tippitt	1990 Bierfront	https://csdb.dk/release/?id=4298
5	Hansford/Interceptor		Graham Hansford		
5	Muso		Tony Reihana	1985	https://csdb.dk/release/?id=156826
5	Neil_Bate		Neil Bate		
5	Parker_Bros				
5	Capcom_2				
5	Chris_Grigg_2				
5	Llamasoft/James_Lisney				
5	4-Mat_tiny_1				
5	HCL/BoozeDesign		David Malmborg (HCL)		
5	Graffity/Brian				
5	Audial_Arts/Cody				
5	Bappalander/Spacelab1				
5	Bug/NCI				
5	SkyLine_Editor_V3.0	SkyLine Editor	Daniel Stenberg (Danne)	1990 SkyLine Technics	https://csdb.dk/release/?id=167080
5	Jason_Briggs				
5	Music_Maker_128			1985 Music Sales Ltd	https://csdb.dk/release/?id=119395
5	ChristopherJam				
5	Steve_Day_Digi				
5	Rotteroy_tiny				
5	Chris_Grigg	Sound Programming Language (SPL)	Chris Grigg		
5	HouseDesigns				
5	ALiH		Jaymz Julian (A Life in Hell)		
5	Maxx_Digi		Zana Bela (Maxx)		
5	Mermaid_tiny_2				
5	Ulrich_Muehl				
5	PM/Niwa				
5	Sarratou_Digi				
5	Marco_Scheepers				
5	Sentinel_V0.7	Sentinel Music Player V07.G0	Sentinel	2020 Sentinel	https://csdb.dk/release/?id=202684
5	Shaun_Southern				
5	ATMDS_1.x	Acid Track Music Development System (ATMDS)	Stefan Hübner (St0ff)	1997 Neoplasia	https://csdb.dk/release/?id=129844
5	Ultimate		Dave Thomas <?>		
5	JITT64_1.x		Stefano Tognon (Ice00)	2008 Ice Team	https://csdb.dk/release/?id=74136
5	Steffen_Wagner				
5	Walt_Digi		Anders Fogh (Walt)		
4	FurC64		AnnoyedArt1256	2025 AnnoyedArt1256	https://github.com/AnnoyedArt1256/furC64
4	Rastelin/Bones		Jacob Surland (Rastelin)		
4	Georg_Brandt/Rhythm_CS	Rhythm Construction Set	Georg Brandt	1986 64'er/Markt & Technik	https://csdb.dk/release/?id=9000
4	Prophet64			2006 8bit Ventures	
4	Spinnaker				
4	XPMCK	Cross Platform Music Compiler Kit	Mic	2008	https://csdb.dk/release/?id=135624
4	Ozzy_Oldschool_V2		Ossi Aarnio (Ozzy Oldskool)		
4	MegaVisionMusic64	MegaVision Music 64 V1.0	Stefan Konrath	1992 64'er/Markt & Technik	https://csdb.dk/release/?id=129795
4	?Unknown_1				
4	Softidea				
4	?CBS				
4	?Unknown_8				
4	Creative_Sparks				
4	?Jetsoft				
4	?Emerald_Software				
4	Bubble_Bus/Love_R				
4	?Charlie_Barr/DataEast				
4	4-Mat/Patchwork				
4	4-Mat/TEDplay				
4	Mjoosic_Mejker	Mjoosic Mejker	Fredrik Ademar (Phred)	1988 Crackers & Programmers Unlimited	https://csdb.dk/release/?id=43954
4	Ash&Dave_Digi				
4	Steven_Baumrucker_2				
4	Christoph_Bergmann				
4	Comer/Digi		Pawel Kulikowski (Comer)		
4	Antony_Crowther_V1				
4	Danko/Shadi				
4	Colin_Davies				
4	Gavin_Graham				
4	Groo/Psygon		Claus Leth Gregersen (Groo)		
4	Lars_Haard				
4	Urs_Heckmann				
4	Hein_tiny				
4	JCH_DigiPlayer				
4	Kyle_Johnson				
4	KingFisher_Digi				
4	Audio_Effect_Editor	Audio Effect Editor	Alexander Kirsch	1989 Golden Disk 64/CP Verlag	https://csdb.dk/release/?id=122169
4	Twice_Effect_Editor	Twice Effect Music Editor	Thomas Engelau	1991 Twice Effect	https://csdb.dk/release/?id=157105
4	Dan_Liverani				
4	MRG				
4	Montecchio/Coolsound		Andreas Montecchio		
4	John_Prince				
4	Luigi_Recanatese				
4	Daryll_Reynolds				
4	Sentinel_V0.4				
4	Gilles_Soulet				
4	Censor_Digi/16khz				
4	WizPlayer_2.0		Piotr Kuciapski (Wizard)		
4	Keith_Wood				
3	Boners				
3	Audial_Revolution	Audial Revolution Music Editor	Maikel van de Lisdonk (Yoga)	1989 Audial Revolution	https://csdb.dk/release/?id=71543
3	Audiomaster_V2		Ruben Spaans (Scroll)	1989 Megastyle	https://csdb.dk/release/?id=7072
3	Digitize_Design_Group				
3	Torpex	Torpex's Music Editor	Peter Eriksson (Torpex)	1991 Wildstyle	https://csdb.dk/release/?id=78289
3	Dutch-USA_Team/MC				
3	Loadstar_SongSmith_v3				
3	Charles_Callet				
3	Bubble_Bus				
3	En-Tech_Studio64				
3	?Heiko_Schroeder				
3	Pretzel/Soundscape	Soundscape	Fredrik Blom	1990 Pretzel Logic	https://csdb.dk/release/?id=33643
3	?ArgusPress				
3	Choice_Software				
3	?Unknown_10				
3	?Caesar_Studio				
3	Catalyst_Coders				
3	Kevin_Grieve				
3	?Beam_Software				
3	Jim_Baguley/SolarSoft				
3	?Kyle_Granger				
3	?DaveJones/MrChip				
