count	player_id	category	name	author	released	reference	source_url	source_type	language	source_note
14	Hermit/FlexSID	source		Mihály Horváth (Hermit)	2022	https://csdb.dk/release/?id=214694	https://hermit.sidrip.com/	author-site	C	Built on Hermit's cRSID C library.
13	Neil_Baldwin	binary-only								
13	JammicroV1	binary-only	Jammicro V1	Kamil Wolnikowski (Jammer)						
13	Glover	binary-only		Lukasz Baran (Glover)						
13	Kosa_Protracker	binary-only		Jakub Kosinski (Kosa)						
13	Dave_Lowe	binary-only								
13	Twynn	binary-only		Ruud den Bekker (Twynn)						
12	Basically_Music	binary-only		Greg Tarr	1988 Compute! Gazette					
12	RiffQuick	binary-only								
12	Georg_Brandt	binary-only								
12	Chris_Huelsbeck	binary-only								
12	Paul_Butler	binary-only								
12	Mark_Clements	binary-only								
12	Anthony_Lees	binary-only								
12	Stuart_Taylor	binary-only								
12	Mark_Wilson	binary-only		Mark Wilson						
11	Dutch-USA_Team/ProDrum	binary-only		The Dutch USA-Team	1988	https://csdb.dk/release/?id=20672				
11	?Hoernell/Players	binary-only								
11	Samplomed	binary-only								
11	GRG	binary-only		Glenn Rune Gallefoss (GRG)						
11	Russell_Lieblich	binary-only		Russell Lieblich						
11	Prosonix_new	binary-only								
11	Gavin_Raeburn	binary-only								
11	ATMDS_3.x	binary-only	Acid Track Music Development System (ATMDS)	Stefan Hübner (St0ff)	2001 Neoplasia	https://csdb.dk/release/?id=7159				
10	?MSB	binary-only								
10	Frank_Tout	binary-only								
10	?Source_2	binary-only								
10	?Paul_Hodgson	binary-only								
10	Paul_Norman/Cosmi	binary-only								
10	OxyMod/THCM	binary-only		Uwe Anfang (The Human Code Machine)						
10	Geir_Tjelta/Echo	binary-only								
10	Faith_Sample_Mixer	binary-only	Sample Mixer	Slawomir Balon (BS)	1994 Faith Design	https://csdb.dk/release/?id=7296				
10	Star_Bars	binary-only	Star Bars Atari 2600 Music Editor	Aleksi Eeben	2023	https://csdb.dk/release/?id=234625				
10	Wyndex/Blahtune	binary-only		Stephen L. Judd (Wyndex)	1997	http://www.ffd2.com/fridge/blahtune/				
10	Kris_Hatlelid	binary-only								
10	DrumEditor	binary-only	Drumeditor V3.0	Frank Hugenroth & André Hugenroth	1990 64'er-Disc/Markt & Technik	https://csdb.dk/release/?id=136179				
10	Oeyvind_Jergan	binary-only		Øyvind Jergan						
10	Oliver_Klaewer	binary-only								
10	Zyborg	binary-only		Mikkel Jakobsen (Zyborg)						
9	Censor_Digi_1	binary-only								
9	Synth_Executor	binary-only	Synth Executor	Georg Feil (Georgie)	1986 Georg Feil	https://csdb.dk/release/?id=57436				
9	?TheSpy_Digi	binary-only								
9	MiniMusic	binary-only	Mini Music Editor	Balazs Farkas (Brian)	1990 Tomcat	https://csdb.dk/release/?id=55790				
9	?Alligata/Quicksilva	binary-only								
9	?Bob_Vieira/Epyx	binary-only								
9	Stephen_Biggs	binary-only								
9	GRG_tiny_1	binary-only		Glenn Rune Gallefoss (GRG)						
9	GMC_V2.0/Superiors	binary-only	Game Music Creator System	Balazs Farkas (Brian)						
9	Odie/Cosine	binary-only		Sean Connolly (Odie)						
9	Drumtex	binary-only		Vidar Bang (Drumtex)						
9	Holger_Gehrmann	binary-only	Soundcontrol	Holger Gehrmann	1984	https://csdb.dk/release/?id=30432				
9	SoundBox/MDA	binary-only		Tim Kleinert	1991 Modern Arts	https://csdb.dk/release/?id=112576				
9	Richard_Joseph	binary-only								
9	Music_Magic	binary-only		Mark Riley & Jon Rami	1984 Mark Riley & Jon Rami	https://csdb.dk/release/?id=129644				
9	Sorex_Digi	binary-only		Geert Verschueren (Sorex)						
9	Zod_Digi	binary-only								
8	Network	binary-only	Network Music Editor V1.4			https://csdb.dk/release/?id=207305				
8	Jim_Cuomo	binary-only								
8	Nigel_Grieve	binary-only								
8	Thiel_Sound_System	binary-only	David Dwyer Thiel Sound System (DDTSS)	David Thiel						
8	Tonal_Kaos	binary-only								
8	Dave_Lee	binary-only								
8	Steve_Turner	binary-only								
8	?Howard_Boles	binary-only								
8	ICC/TheVoice	binary-only		Incredibly Confused Coder (ICC)						
8	David_Green	binary-only								
8	Jason_Page/RobTracker	binary-only		Jason Page						
8	SoundWriter_2.0	binary-only		Thorsten Klose	1992 64'er/Markt & Technik	https://csdb.dk/release/?id=17422				
8	Mermaid_tiny	binary-only								
8	Dane	binary-only		Stellan Andersson (Dane)						
8	Mixer	binary-only		Jouni Ikonen (Mixer)						
8	Noise-Mon_V2	binary-only		Piotr Pisula	1992 Piotr Pisula					
8	Jason_Page	binary-only								
8	Reiter_Digi	binary-only		Bartek Stobiecki (Reiter)						
8	Martijn_Schutten	binary-only								
8	Hans_Siemons	binary-only								
8	Graffity/Grabowsky	binary-only								
8	Matthias_Weber	binary-only								
7	Power-Composer	binary-only		Markus (Biscuit)		https://csdb.dk/release/?id=236659				
7	Quantum_Soundtracker	binary-only		Aleksi Eeben	2024 Aleksi Eeben	https://csdb.dk/release/?id=245053				
7	Mcee_Digi	binary-only								
7	Colleen	binary-only								
7	?Jim_Simmons/Capcom	binary-only								
7	VoiceEater	binary-only		Rolf Runar Bakke	1999 SHAPE	https://csdb.dk/release/?id=33610				
7	Bobbi_Towers	binary-only								
7	Ed_Bogas/Accolade	binary-only		Ed Bogas						
7	Neil_Crossley	binary-only								
7	Ivan_Del_Duca	binary-only								
7	Gavin_Graham_2	binary-only								
7	Algorithm/Frodigi	binary-only	Free Running Oscillator Digi	Naveed Khugiani (Algorithm)						
7	Mat/MDA	binary-only		Matthias Hillebrand of Modern Arts						
7	(Dane_NewPlayer)	binary-only	JCH-editor 3.1 + NP22-25	Stellan Andersson (Dane)	2011	https://csdb.dk/release/?id=100406				
7	Ozzy_Oldschool_V1	binary-only		Ossi Aarnio (Ozzy Oldskool)						
7	SounDemon	binary-only		Otto Järvinen (SounDemoN)						
7	Song_Writer	binary-only		Jeremy Thorne						
6	Modulator	binary-only	Modulator	Thomas Krätzig	1985 64'er/Markt & Technik	https://csdb.dk/release/?id=129802				
6	Cyberbrain_Digi	binary-only		Bjarke Nørgaard Laustsen (CyberBrain)						
6	MicroRhythm	binary-only		Simon Pick	1986 Firebird	https://csdb.dk/release/?id=49637				
6	Voicemaster_Covox	binary-only	Voicemaster	Brad Stewart & Ned Higgins	1984 Covox Inc.					
6	CharlesCallet/MusicPro	binary-only	Music Pro	Charles Callet		https://cpcrulez.fr/applications_music-music-pro.htm?t=VA==				
6	?Source	binary-only								
6	Paul_Hughes	binary-only		Paul Hughes						
6	Ed_Bogas/Hakansson	binary-only		Ed Bogas						
6	ID_3.x	binary-only		Danjel Nyberg (Amadeus)						
6	Steve_Bak	binary-only								
6	Element114Studio_1.2	binary-only	Music Studio Plus	Martin Piper & Alan Peters	2010 Element 114 Software	https://csdb.dk/release/?id=90404				
6	Digimixer/FunFactory	binary-only	Digimixer	Gyula Szalai (Jules)	199? Fun Factory	https://csdb.dk/release/?id=129559				
6	Censor_Digi_2	binary-only								
6	MacGyver/ESV	binary-only	Expanded SID Voice	Mac Gyver	1988 Digitize Design Group	https://csdb.dk/release/?id=129556				
6	Geir_Tjelta/Comptech-X	binary-only	Comptech-X	Geir Tjelta	2019 <?>					
6	Rene_Romijn	binary-only								
6	Matt_Furniss	binary-only								
6	Golem	binary-only		Paul H. (Golem)						
6	MusicSlave	binary-only								
6	Van_Styer_Digi	binary-only		Piotr Przewozny (Van Styer)						
6	Hermit	binary-only								
6	Symphonica/MDA	binary-only	Symphonica Music System V1.0	Tim Kleinert						
6	JammicroV0	binary-only	Jammicro V0	Kamil Wolnikowski (Jammer)						
6	KB/TOM	binary-only		Tammo Hinrichs (kb) of The Obsessed Maniacs (TOM)						
6	Dave_Kelly	binary-only								
6	Stephen_Legg	binary-only								
6	Madhacker_Digi	binary-only		David (Madhacker)						
6	Magnar_tiny	binary-only								
6	MrMouse/EasyPlayer	binary-only		Michael Zuurman (Mr. Mouse)						
6	Paul_Mudra	binary-only								
6	Visac_tiny	binary-only								
5	Martin_Galway_Digi	binary-only		Martin Galway						
5	?Juergen_Jost	binary-only								
5	TFMX/MasterComposer	binary-only		Playboy & Sir Tippitt	1990 Bierfront	https://csdb.dk/release/?id=4298				
5	Hansford/Interceptor	binary-only		Graham Hansford						
5	Muso	binary-only		Tony Reihana	1985	https://csdb.dk/release/?id=156826				
5	Neil_Bate	binary-only		Neil Bate						
5	Parker_Bros	binary-only								
5	Capcom_2	binary-only								
